text_lenght;nr_word;contains_?;contains_!;contains_multiple_!?;nr_of_urls;contains_url;contains_media;contains_hashtag;contains_dollar;contains_mention;registration_age;statuses_count;followers_count;friends_count;verified;desc_lenght;desc_contains_url;default_profile;default_profile_img;profile_use_background_image;label
103;34;1.0;0.0;0.0;1;1.0;0.0;0.0;0.0;0.0;5019;51691;2802;121;0.0;47;0.0;0.0;0.0;1.0;0
77;21;1.0;0.0;0.0;1;1.0;0.0;0.0;0.0;0.0;3614;51691;2802;121;0.0;47;0.0;0.0;0.0;1.0;0
136;39;1.0;0.0;0.0;1;1.0;0.0;0.0;0.0;0.0;3729;33224;1561;563;0.0;67;0.0;0.0;0.0;1.0;0
77;21;1.0;0.0;0.0;1;1.0;0.0;0.0;0.0;0.0;2694;17765;1886;1445;0.0;0;0.0;0.0;0.0;1.0;0
128;34;0.0;0.0;0.0;1;1.0;0.0;0.0;0.0;0.0;3232;173826;462;438;0.0;108;0.0;1.0;0.0;1.0;0
126;33;0.0;0.0;0.0;1;1.0;0.0;0.0;0.0;0.0;3508;94175;44;67;0.0;50;0.0;1.0;0.0;1.0;0
138;35;0.0;0.0;0.0;1;1.0;0.0;1.0;0.0;0.0;1848;104622;1284;819;0.0;82;1.0;0.0;0.0;1.0;0
131;35;0.0;0.0;0.0;1;1.0;0.0;0.0;0.0;0.0;1841;8056;14;95;0.0;0;0.0;1.0;0.0;1.0;0
127;33;0.0;0.0;0.0;1;1.0;0.0;0.0;0.0;0.0;4764;27627;15;14;0.0;0;0.0;1.0;0.0;1.0;0
101;25;0.0;0.0;0.0;2;1.0;0.0;0.0;0.0;0.0;4747;39892;9606;118;0.0;158;0.0;0.0;0.0;0.0;0
134;32;0.0;0.0;0.0;1;1.0;0.0;1.0;0.0;0.0;4923;26010;10099;4817;0.0;118;0.0;0.0;0.0;1.0;0
77;21;0.0;0.0;0.0;1;1.0;0.0;0.0;0.0;0.0;4944;119368;7041;7079;0.0;83;1.0;1.0;0.0;1.0;0
101;27;1.0;0.0;0.0;1;1.0;0.0;0.0;0.0;0.0;3455;163054;324987;743;0.0;126;0.0;0.0;0.0;1.0;0
118;30;1.0;0.0;0.0;1;1.0;0.0;1.0;0.0;0.0;3451;3536;170;178;0.0;96;0.0;0.0;0.0;1.0;0
114;32;1.0;0.0;0.0;1;1.0;0.0;0.0;0.0;0.0;3097;7065;788;675;0.0;40;0.0;1.0;0.0;1.0;0
114;32;1.0;0.0;0.0;1;1.0;0.0;0.0;0.0;0.0;3193;505439;1032;375;0.0;0;0.0;1.0;0.0;1.0;0
101;27;1.0;0.0;0.0;1;1.0;0.0;0.0;0.0;0.0;2707;55533;419;4948;0.0;109;0.0;0.0;0.0;1.0;0
69;17;0.0;0.0;0.0;1;1.0;0.0;0.0;0.0;0.0;3188;496188;2263;835;0.0;56;1.0;0.0;0.0;0.0;0
69;17;0.0;0.0;0.0;1;1.0;0.0;0.0;0.0;0.0;4863;8020;2588;4752;0.0;133;0.0;0.0;0.0;1.0;0
69;17;0.0;0.0;0.0;1;1.0;0.0;0.0;0.0;0.0;4583;56828;357;309;0.0;69;0.0;0.0;0.0;1.0;0
69;17;0.0;0.0;0.0;1;1.0;0.0;0.0;0.0;0.0;4944;55027;1326;1735;0.0;45;0.0;0.0;0.0;1.0;0
123;37;0.0;0.0;0.0;1;1.0;0.0;0.0;0.0;0.0;4944;163054;324987;743;0.0;126;0.0;0.0;0.0;1.0;0
133;39;0.0;0.0;0.0;1;1.0;0.0;0.0;0.0;0.0;3988;163054;324987;743;0.0;126;0.0;0.0;0.0;1.0;0
103;29;1.0;0.0;0.0;1;1.0;0.0;1.0;0.0;0.0;4944;181270;19355;117;1.0;126;0.0;0.0;0.0;1.0;0
131;37;0.0;0.0;0.0;1;1.0;0.0;0.0;0.0;0.0;4944;163054;324987;743;0.0;126;0.0;0.0;0.0;1.0;0
94;28;0.0;0.0;0.0;1;1.0;0.0;0.0;0.0;0.0;3653;163054;324987;743;0.0;126;0.0;0.0;0.0;1.0;0
136;42;1.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;3706;119040;101;22;0.0;0;0.0;1.0;1.0;1.0;0
136;42;1.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;3711;114216;136;62;0.0;15;0.0;1.0;0.0;1.0;0
136;42;1.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;3691;126625;147;49;0.0;12;0.0;0.0;0.0;1.0;0
136;42;1.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;4982;184650;160;70;0.0;15;0.0;1.0;0.0;1.0;0
85;19;0.0;0.0;0.0;1;1.0;0.0;0.0;0.0;0.0;5431;590040;1520;1645;0.0;86;1.0;0.0;0.0;1.0;0
85;19;0.0;0.0;0.0;1;1.0;0.0;0.0;0.0;0.0;3078;831107;2183;2549;0.0;0;0.0;0.0;0.0;1.0;0
109;23;0.0;0.0;0.0;2;1.0;0.0;0.0;0.0;0.0;3078;171289;539;996;0.0;19;0.0;0.0;0.0;1.0;0
85;19;0.0;0.0;0.0;1;1.0;0.0;0.0;0.0;0.0;4692;171289;539;996;0.0;19;0.0;0.0;0.0;1.0;0
113;29;0.0;0.0;0.0;2;1.0;0.0;0.0;0.0;0.0;2287;15201;178;817;0.0;0;0.0;0.0;0.0;1.0;0
99;29;0.0;0.0;0.0;1;1.0;0.0;0.0;0.0;0.0;2883;32824;2;0;0.0;0;0.0;1.0;1.0;1.0;0
89;25;0.0;0.0;0.0;1;1.0;0.0;0.0;0.0;0.0;2984;37267;377;531;0.0;56;1.0;0.0;0.0;0.0;0
100;27;0.0;0.0;0.0;1;1.0;0.0;1.0;0.0;0.0;4944;51987;1858;2291;0.0;52;0.0;0.0;0.0;1.0;0
111;27;1.0;0.0;0.0;2;1.0;0.0;0.0;0.0;0.0;4692;163054;324987;743;0.0;126;0.0;0.0;0.0;1.0;0
108;25;1.0;0.0;0.0;2;1.0;0.0;0.0;0.0;0.0;2275;15201;178;817;0.0;0;0.0;0.0;0.0;1.0;0
97;26;1.0;0.0;0.0;1;1.0;0.0;0.0;0.0;0.0;2287;44901;11;30;0.0;26;0.0;1.0;0.0;1.0;0
94;25;1.0;0.0;0.0;1;1.0;0.0;0.0;0.0;0.0;4944;32824;2;0;0.0;0;0.0;1.0;1.0;1.0;0
87;23;1.0;0.0;0.0;1;1.0;0.0;0.0;0.0;0.0;4944;163054;324987;743;0.0;126;0.0;0.0;0.0;1.0;0
106;31;0.0;0.0;0.0;1;1.0;0.0;0.0;0.0;0.0;2006;163054;324987;743;0.0;126;0.0;0.0;0.0;1.0;0
122;36;0.0;0.0;0.0;1;1.0;0.0;0.0;0.0;0.0;4935;15969;153;266;0.0;0;0.0;1.0;0.0;1.0;0
98;31;0.0;0.0;0.0;1;1.0;0.0;0.0;0.0;1.0;2361;15375;1255;1072;0.0;103;0.0;0.0;0.0;0.0;0
89;28;0.0;0.0;0.0;1;1.0;0.0;0.0;0.0;1.0;3455;42325;216;152;0.0;153;0.0;1.0;0.0;1.0;0
121;32;1.0;0.0;0.0;1;1.0;0.0;1.0;0.0;0.0;4944;3536;170;178;0.0;96;0.0;0.0;0.0;1.0;0
128;33;1.0;0.0;0.0;2;1.0;0.0;0.0;0.0;0.0;3685;163054;324987;743;0.0;126;0.0;0.0;0.0;1.0;0
104;29;1.0;0.0;0.0;1;1.0;0.0;0.0;0.0;0.0;3820;69209;572;638;0.0;155;0.0;1.0;0.0;1.0;0
79;19;0.0;1.0;0.0;1;1.0;0.0;0.0;0.0;0.0;3531;70405;361;165;0.0;41;0.0;0.0;0.0;0.0;0
75;20;0.0;0.0;0.0;1;1.0;0.0;0.0;0.0;1.0;4944;133413;14012;15415;0.0;160;0.0;0.0;0.0;1.0;0
129;29;0.0;0.0;0.0;2;1.0;0.0;0.0;0.0;0.0;4944;163054;324988;743;0.0;126;0.0;0.0;0.0;1.0;0
105;25;1.0;0.0;0.0;1;1.0;0.0;0.0;0.0;0.0;2196;163054;324988;743;0.0;126;0.0;0.0;0.0;1.0;0
121;37;0.0;0.0;0.0;1;1.0;0.0;0.0;0.0;0.0;1729;21644;1588;1391;0.0;162;1.0;1.0;0.0;1.0;0
121;37;0.0;0.0;0.0;1;1.0;0.0;0.0;0.0;0.0;4270;4223;107;241;0.0;155;0.0;0.0;0.0;0.0;0
140;27;1.0;0.0;0.0;1;1.0;0.0;1.0;0.0;0.0;4944;7603;949;947;0.0;80;0.0;0.0;0.0;0.0;0
105;27;0.0;0.0;0.0;2;1.0;0.0;0.0;0.0;0.0;4944;163054;324988;743;0.0;126;0.0;0.0;0.0;1.0;0
72;23;0.0;0.0;0.0;1;1.0;0.0;0.0;0.0;0.0;1950;163054;324988;743;0.0;126;0.0;0.0;0.0;1.0;0
117;33;0.0;0.0;0.0;1;1.0;0.0;1.0;0.0;1.0;4468;41030;1862;2849;0.0;83;0.0;1.0;0.0;1.0;0
140;45;0.0;0.0;0.0;1;1.0;0.0;0.0;0.0;0.0;1552;9603;631;1127;0.0;150;0.0;0.0;0.0;0.0;0
135;43;0.0;0.0;0.0;0;0.0;0.0;1.0;0.0;0.0;4944;530;6;0;0.0;0;0.0;1.0;1.0;1.0;0
129;32;0.0;0.0;0.0;2;1.0;0.0;0.0;0.0;0.0;2551;163054;324988;743;0.0;126;0.0;0.0;0.0;1.0;0
140;39;0.0;1.0;0.0;1;1.0;0.0;0.0;0.0;0.0;4944;208486;135572;1513;1.0;150;0.0;0.0;0.0;0.0;0
105;28;0.0;0.0;0.0;1;1.0;0.0;0.0;0.0;0.0;1792;163054;324988;743;0.0;126;0.0;0.0;0.0;1.0;0
128;41;0.0;0.0;0.0;1;1.0;0.0;0.0;0.0;0.0;3837;9168;21;106;0.0;0;0.0;1.0;0.0;1.0;0
139;44;0.0;0.0;0.0;1;1.0;0.0;1.0;0.0;0.0;4958;482570;4761;2025;0.0;101;0.0;1.0;0.0;1.0;0
