text_lenght;nr_word;contains_?;contains_!;contains_multiple_!?;nr_of_urls;contains_url;contains_media;contains_hashtag;contains_dollar;contains_mention;registration_age;statuses_count;followers_count;friends_count;verified;desc_lenght;desc_contains_url;default_profile;default_profile_img;profile_use_background_image;label
71;20;0.0;0.0;0.0;1;1.0;0.0;0.0;0.0;0.0;4879;110779;887;245;0.0;115;0.0;0.0;0.0;1.0;1
89;23;0.0;0.0;0.0;1;1.0;0.0;0.0;0.0;0.0;4953;54144;78090;586;1.0;80;0.0;0.0;0.0;1.0;1
79;27;0.0;0.0;0.0;1;1.0;0.0;0.0;0.0;1.0;3756;2806;9806;1277;0.0;146;0.0;0.0;0.0;1.0;1
119;35;0.0;0.0;0.0;1;1.0;0.0;0.0;0.0;0.0;4971;36273;8632;4597;1.0;45;1.0;0.0;0.0;1.0;1
108;30;0.0;0.0;0.0;1;1.0;0.0;1.0;0.0;1.0;4059;6026;385;591;0.0;40;0.0;0.0;0.0;1.0;1
91;25;0.0;0.0;0.0;1;1.0;0.0;0.0;0.0;1.0;4196;56579;3578;1912;1.0;57;0.0;1.0;0.0;1.0;1
99;33;0.0;1.0;0.0;1;1.0;0.0;0.0;0.0;0.0;3618;385;100;154;0.0;125;0.0;1.0;0.0;1.0;1
102;25;0.0;1.0;0.0;1;1.0;0.0;1.0;0.0;0.0;3990;37548;863;90;0.0;23;1.0;0.0;0.0;1.0;1
79;21;0.0;0.0;0.0;1;1.0;0.0;1.0;0.0;1.0;3965;2372;469;1085;0.0;0;0.0;0.0;0.0;0.0;1
129;37;0.0;1.0;1.0;1;1.0;0.0;0.0;0.0;0.0;4753;157089;11549;788;0.0;156;0.0;0.0;0.0;1.0;1
119;42;0.0;0.0;0.0;1;1.0;0.0;0.0;0.0;1.0;4757;49036;1482781;2302;1.0;116;1.0;0.0;0.0;1.0;1
112;27;0.0;0.0;0.0;2;1.0;0.0;0.0;0.0;0.0;5280;610527;11350715;5574;1.0;90;0.0;0.0;0.0;1.0;1
130;34;0.0;0.0;0.0;2;1.0;0.0;0.0;0.0;1.0;4300;6200;266;1214;0.0;86;0.0;0.0;0.0;1.0;1
119;33;0.0;0.0;0.0;2;1.0;0.0;0.0;0.0;1.0;5029;25898;5141;252;0.0;123;0.0;0.0;0.0;1.0;1
73;22;0.0;0.0;0.0;1;1.0;0.0;0.0;0.0;1.0;4657;36429;10563;1764;1.0;157;0.0;0.0;0.0;1.0;1
130;35;0.0;0.0;0.0;2;1.0;0.0;0.0;0.0;1.0;4879;36394;292;925;0.0;62;0.0;0.0;0.0;1.0;1
122;29;0.0;0.0;0.0;2;1.0;0.0;0.0;0.0;1.0;4823;2289;4618;410;0.0;154;0.0;0.0;0.0;1.0;1
130;35;0.0;0.0;0.0;2;1.0;0.0;0.0;0.0;1.0;4692;355;76;255;0.0;0;0.0;0.0;0.0;1.0;1
130;34;0.0;0.0;0.0;2;1.0;0.0;0.0;0.0;1.0;3937;14080;171;333;0.0;0;0.0;1.0;0.0;1.0;1
119;33;0.0;0.0;0.0;2;1.0;0.0;0.0;0.0;1.0;4026;11260;4471;4349;0.0;136;0.0;0.0;0.0;1.0;1
119;32;0.0;0.0;0.0;2;1.0;0.0;0.0;0.0;1.0;4486;68572;2494;4486;0.0;160;0.0;0.0;0.0;1.0;1
130;35;0.0;0.0;0.0;2;1.0;0.0;0.0;0.0;1.0;5296;5048;1330;2276;0.0;144;1.0;0.0;0.0;1.0;1
100;22;0.0;0.0;0.0;2;1.0;0.0;0.0;0.0;0.0;5174;240796;228004;2223;1.0;138;0.0;0.0;0.0;1.0;1
130;35;0.0;0.0;0.0;2;1.0;0.0;0.0;0.0;1.0;4979;1917;1205;403;0.0;126;0.0;1.0;0.0;1.0;1
69;20;0.0;0.0;0.0;1;1.0;0.0;0.0;0.0;1.0;4920;98864;477304;1499;1.0;105;0.0;1.0;0.0;1.0;1
130;35;0.0;0.0;0.0;2;1.0;0.0;0.0;0.0;1.0;5663;12770;1250;3455;0.0;149;0.0;0.0;0.0;1.0;1
130;35;0.0;0.0;0.0;2;1.0;0.0;0.0;0.0;1.0;4973;5659;821;1569;0.0;140;0.0;1.0;0.0;1.0;1
102;33;1.0;0.0;0.0;1;1.0;0.0;0.0;0.0;1.0;3731;553;147;229;0.0;48;0.0;1.0;0.0;1.0;1
118;34;0.0;0.0;0.0;1;1.0;0.0;0.0;0.0;1.0;5529;3296;2774;994;0.0;143;0.0;0.0;0.0;0.0;1
130;35;0.0;0.0;0.0;2;1.0;0.0;0.0;0.0;1.0;3491;60;3;193;0.0;110;0.0;1.0;1.0;1.0;1
115;40;0.0;0.0;0.0;1;1.0;0.0;0.0;0.0;1.0;5639;321004;6301716;2921;1.0;51;0.0;0.0;0.0;1.0;1
98;31;1.0;0.0;0.0;1;1.0;0.0;0.0;0.0;0.0;5043;118335;7327;7008;0.0;71;0.0;0.0;0.0;1.0;1
134;40;0.0;0.0;0.0;1;1.0;0.0;0.0;0.0;1.0;4961;6495;1080;956;0.0;72;0.0;0.0;0.0;1.0;1
125;33;0.0;0.0;0.0;1;1.0;0.0;0.0;0.0;0.0;5280;610527;11350715;5574;1.0;90;0.0;0.0;0.0;1.0;1
139;36;0.0;0.0;0.0;1;1.0;0.0;0.0;0.0;0.0;5484;153050;163325;725;1.0;98;1.0;0.0;0.0;1.0;1
101;31;0.0;0.0;0.0;1;1.0;0.0;0.0;0.0;1.0;4583;31408;26962;1821;1.0;45;0.0;0.0;0.0;1.0;1
110;36;0.0;0.0;0.0;1;1.0;0.0;0.0;0.0;1.0;4661;2743;1927;1841;0.0;87;0.0;1.0;0.0;1.0;1
130;35;0.0;0.0;0.0;2;1.0;0.0;0.0;0.0;1.0;4968;15046;1031710;185;1.0;123;0.0;0.0;0.0;1.0;1
96;27;0.0;0.0;0.0;1;1.0;0.0;1.0;0.0;1.0;4719;11315;470;4996;0.0;124;0.0;1.0;0.0;1.0;1
119;32;0.0;0.0;0.0;2;1.0;0.0;0.0;0.0;1.0;5025;56821;4924;3747;0.0;129;0.0;0.0;0.0;1.0;1
130;47;0.0;0.0;0.0;1;1.0;0.0;0.0;0.0;1.0;4662;5994;44;285;0.0;0;0.0;0.0;0.0;1.0;1
110;35;0.0;0.0;0.0;1;1.0;0.0;0.0;0.0;1.0;4668;14106;388;781;0.0;91;0.0;0.0;0.0;1.0;1
130;34;0.0;0.0;0.0;2;1.0;0.0;0.0;0.0;1.0;4985;21580;829;837;0.0;160;0.0;0.0;0.0;1.0;1
108;25;0.0;0.0;0.0;1;1.0;0.0;0.0;0.0;1.0;3581;210682;1426366;4768;1.0;120;1.0;0.0;0.0;0.0;1
110;37;0.0;0.0;0.0;1;1.0;0.0;0.0;0.0;1.0;4970;14411;291;1368;0.0;72;0.0;0.0;0.0;1.0;1
130;35;0.0;0.0;0.0;2;1.0;0.0;0.0;0.0;1.0;5306;43082;33026;1093;1.0;160;0.0;0.0;0.0;1.0;1
73;22;0.0;0.0;0.0;1;1.0;0.0;0.0;0.0;1.0;4966;281743;6331;1420;1.0;99;1.0;0.0;0.0;1.0;1
75;18;0.0;0.0;0.0;1;1.0;0.0;1.0;0.0;0.0;5010;21140;5787;4309;0.0;149;0.0;0.0;0.0;1.0;1
110;39;0.0;1.0;0.0;1;1.0;0.0;0.0;0.0;1.0;5281;424;49;100;0.0;0;0.0;1.0;0.0;1.0;1
93;26;0.0;0.0;0.0;1;1.0;0.0;0.0;0.0;0.0;4952;34705;365;654;0.0;14;0.0;0.0;0.0;1.0;1
110;35;0.0;0.0;0.0;1;1.0;0.0;0.0;0.0;1.0;5149;74736;569;527;0.0;137;0.0;1.0;0.0;1.0;1
127;31;0.0;0.0;0.0;2;1.0;0.0;0.0;0.0;0.0;5261;5427;1556468;866;1.0;133;0.0;0.0;0.0;1.0;1
128;45;0.0;0.0;0.0;1;1.0;0.0;0.0;0.0;1.0;4770;4109;101;1770;0.0;24;0.0;0.0;0.0;1.0;1
110;35;0.0;0.0;0.0;1;1.0;0.0;0.0;0.0;1.0;4841;71393;9815;2253;1.0;157;0.0;0.0;0.0;1.0;1
124;37;0.0;0.0;0.0;1;1.0;0.0;0.0;0.0;1.0;5223;9501;436;898;0.0;24;0.0;0.0;0.0;1.0;1
135;42;0.0;0.0;0.0;1;1.0;0.0;0.0;0.0;1.0;5654;6903;676;2620;0.0;144;1.0;0.0;0.0;0.0;1
140;43;0.0;0.0;0.0;1;1.0;0.0;0.0;0.0;0.0;4553;48923;3543;1192;1.0;111;0.0;0.0;0.0;1.0;1
117;32;0.0;0.0;0.0;1;1.0;0.0;0.0;0.0;1.0;5030;121;78;384;0.0;148;0.0;0.0;0.0;1.0;1
134;46;0.0;0.0;0.0;1;1.0;0.0;0.0;0.0;0.0;4419;6978;14680;314;1.0;127;0.0;0.0;0.0;1.0;1
106;35;0.0;0.0;0.0;1;1.0;0.0;0.0;0.0;1.0;5677;14727;118199;1442;0.0;146;0.0;0.0;0.0;1.0;1
117;40;0.0;0.0;0.0;1;1.0;0.0;0.0;0.0;0.0;4828;147002;5323;3084;1.0;144;0.0;0.0;0.0;1.0;1
91;28;0.0;0.0;0.0;1;1.0;0.0;0.0;0.0;1.0;4830;14553;2096;3074;0.0;33;0.0;0.0;0.0;1.0;1
139;41;0.0;0.0;0.0;1;1.0;0.0;0.0;0.0;0.0;5379;8577;703;618;0.0;39;0.0;0.0;0.0;1.0;1
123;35;0.0;0.0;0.0;1;1.0;0.0;0.0;0.0;1.0;4797;22692;571;894;0.0;24;0.0;0.0;0.0;1.0;1
140;32;0.0;0.0;0.0;1;1.0;0.0;1.0;0.0;0.0;4258;307996;16566;4522;0.0;152;0.0;0.0;0.0;1.0;1
111;31;0.0;0.0;0.0;2;1.0;0.0;0.0;0.0;1.0;4938;1735;21;68;0.0;157;0.0;0.0;0.0;1.0;1
140;40;0.0;0.0;0.0;1;1.0;0.0;1.0;0.0;0.0;4201;78568;811;1791;0.0;156;0.0;0.0;0.0;1.0;1
104;37;0.0;1.0;1.0;1;1.0;0.0;0.0;0.0;0.0;3875;456;13;0;0.0;0;0.0;1.0;0.0;1.0;1
120;33;0.0;0.0;0.0;1;1.0;0.0;1.0;0.0;0.0;4909;8498;27415;347;1.0;80;0.0;0.0;0.0;1.0;1
105;32;0.0;1.0;1.0;1;1.0;0.0;1.0;0.0;0.0;4872;9965;4154;458;0.0;43;0.0;0.0;0.0;1.0;1
129;33;0.0;0.0;0.0;1;1.0;0.0;1.0;0.0;0.0;4771;25077;182;603;0.0;55;0.0;0.0;0.0;1.0;1
85;21;0.0;0.0;0.0;1;1.0;0.0;1.0;0.0;1.0;5076;496277;125231;3245;1.0;144;1.0;0.0;0.0;0.0;1
115;38;0.0;1.0;1.0;1;1.0;0.0;1.0;0.0;0.0;4127;5408;49;341;0.0;0;0.0;1.0;0.0;1.0;1
139;35;0.0;0.0;0.0;2;1.0;0.0;1.0;0.0;0.0;5144;107769;54656;743;1.0;157;1.0;0.0;0.0;0.0;1
106;21;0.0;0.0;0.0;2;1.0;0.0;1.0;0.0;0.0;3481;49525;1455;0;0.0;0;0.0;1.0;0.0;1.0;1
126;34;0.0;1.0;1.0;1;1.0;0.0;0.0;0.0;0.0;3691;786;63;707;0.0;42;0.0;0.0;0.0;1.0;1
124;27;0.0;0.0;0.0;1;1.0;0.0;1.0;0.0;0.0;4851;46776;424;386;0.0;48;0.0;0.0;0.0;1.0;1
107;30;0.0;0.0;0.0;1;1.0;0.0;0.0;0.0;1.0;3812;58324;721;221;0.0;4;0.0;1.0;0.0;1.0;1
114;35;0.0;0.0;0.0;1;1.0;0.0;0.0;0.0;0.0;4920;42704;13774;5996;1.0;149;0.0;0.0;0.0;1.0;1
90;25;0.0;0.0;0.0;1;1.0;0.0;0.0;0.0;1.0;4196;56579;3578;1912;1.0;57;0.0;1.0;0.0;1.0;1
122;27;0.0;0.0;0.0;1;1.0;0.0;1.0;0.0;0.0;3941;59171;10575;731;0.0;84;0.0;0.0;0.0;1.0;1
95;34;0.0;0.0;0.0;1;1.0;0.0;1.0;0.0;0.0;3956;3302;63;107;0.0;0;0.0;0.0;0.0;1.0;1
46;8;0.0;0.0;0.0;1;1.0;0.0;1.0;0.0;0.0;5002;38649;2181;1023;0.0;117;0.0;0.0;0.0;1.0;1
123;37;0.0;0.0;0.0;1;1.0;0.0;0.0;0.0;0.0;4832;23494;376;897;0.0;0;0.0;0.0;0.0;1.0;1
79;21;0.0;0.0;0.0;1;1.0;0.0;1.0;0.0;0.0;4001;7643;308;442;0.0;0;0.0;0.0;0.0;1.0;1
68;13;0.0;0.0;0.0;1;1.0;0.0;1.0;0.0;0.0;4918;19311;797;1658;0.0;0;0.0;0.0;0.0;1.0;1
