text_lenght,nr_word,contains_?,contains_!,contains_multiple_!?,nr_of_urls,contains_url,contains_media,contains_hashtag,contains_dollar,contains_mention,registration_age,statuses_count,followers_count,friends_count,verified,desc_lenght,desc_contains_url,default_profile,default_profile_img,profile_use_background_image,label
104,29,False,False,False,1,True,False,False,False,True,2012-02-24,13281,336,429,False,30,False,True,False,True,0
78,31,False,False,False,0,False,False,False,False,True,2016-09-09,19477,326,199,False,20,False,False,False,False,0
128,42,False,True,True,0,False,False,False,False,True,2013-07-27,5792,1752,3152,False,109,False,False,False,False,0
115,42,False,False,False,0,False,False,False,False,True,2010-06-17,134838,839,1168,False,44,False,False,False,True,0
126,44,False,False,False,0,False,False,False,False,True,2017-02-21,55547,648,49,False,131,False,True,False,True,0
127,48,False,False,False,0,False,False,False,False,True,2015-12-31,8619,123,324,False,87,False,True,True,True,0
127,44,True,False,False,0,False,False,True,False,True,2019-06-18,565197,1286,1628,False,0,False,True,False,True,0
129,51,False,False,False,0,False,False,False,False,True,2012-01-11,169300,1666,244,False,18,False,False,False,True,0
129,36,False,False,False,0,False,False,False,False,True,2019-01-05,67227,656,1457,False,0,False,True,False,True,0
109,27,False,False,False,1,True,False,False,False,True,2015-09-18,19350,228,758,False,26,False,True,False,True,0
79,24,False,False,False,1,True,False,False,False,True,2014-07-04,8763,260,1075,False,61,False,True,False,True,0
91,37,False,False,False,0,False,False,False,False,True,2017-08-16,12540,1938,3358,False,13,False,True,False,True,0
134,58,True,False,False,0,False,False,True,False,True,2013-10-20,22582,217,214,False,0,False,True,False,True,0
132,44,False,False,False,0,False,False,False,False,True,2014-03-24,112761,957,4617,False,23,False,False,False,True,0
106,27,False,False,False,1,True,False,False,False,True,2012-05-09,28266,257,286,False,100,False,False,False,True,0
140,45,False,False,False,1,True,False,True,False,False,2014-11-11,50313,566,4,False,112,False,False,False,False,0
90,23,False,False,False,1,True,False,False,False,True,2012-07-14,15127,52,92,False,0,False,True,False,True,0
122,38,False,False,False,0,False,False,False,False,True,2011-07-16,15184,2590,3423,False,157,False,True,False,True,0
124,43,False,False,False,0,False,False,False,False,True,2012-07-07,29748,314,257,False,66,False,False,False,True,0
63,21,False,False,False,0,False,False,False,False,True,2010-06-18,37627,956,569,False,11,False,False,False,True,0
95,29,True,False,False,1,True,False,False,False,False,2009-03-25,4336,1096,3767,False,158,False,False,False,True,0
129,51,False,False,False,0,False,False,False,False,True,2019-06-05,13804,747,2389,False,69,False,True,False,True,0
127,42,False,False,False,0,False,False,False,False,True,2017-11-17,4391,62,2351,False,22,False,True,False,True,0
79,21,False,False,False,1,True,False,False,False,True,2010-07-31,57928,1237,1228,False,0,False,False,False,True,0
111,40,False,False,False,1,True,False,False,False,True,2012-07-18,949,520,1556,False,57,False,True,False,True,0
128,50,False,False,False,0,False,False,True,False,True,2018-03-17,11,1,75,False,0,False,True,False,True,0
133,32,False,False,False,2,True,False,False,False,True,2009-10-05,20240,456,2371,False,37,False,False,False,True,0
90,27,False,False,False,0,False,False,False,False,True,2011-08-16,1816,478,462,False,66,False,False,False,True,0
101,25,False,False,False,1,True,False,True,False,True,2016-09-11,69486,356,2260,False,31,False,True,False,True,0
